id,lat,lon,business_type,final_probability,base_business_score,sentiment_score,trends_demand_score,saturation_score,matched_sentiment_location,distance_to_sentiment_km
node/956773581,43.0940178,-89.3414668,restaurant,51.7,54.2,33.3,30.0,1.0,east washington,1.93
node/3245483866,43.05513059999999,-89.4999204,bar,51.7,54.8,30.6,35.0,0.7,west side,1.96
node/5029100532,43.0939931,-89.3411095,restaurant,51.7,54.2,33.3,30.0,1.0,east washington,1.94
node/8505198887,43.07490049999999,-89.39072080000001,bar,51.7,51.8,33.3,35.0,0.0,isthmus,0.06
way/987655471,43.05749205759648,-89.42806675954046,restaurant,51.6,60.8,26.7,30.0,0.7,monroe street,1.84
way/669758023,43.034228860502786,-89.4455499347774,coworking space,51.6,49.3,50.0,5.9,1.0,monroe street,3.58
node/6340379852,43.0749307,-89.39238,bar,51.6,51.5,33.3,35.0,0.0,isthmus,0.19
node/9898292787,43.0693148,-89.392177,daycare,51.5,43.8,50.0,16.3,1.0,downtown,0.84
node/11074151817,43.09860369999999,-89.3487346,pharmacy,51.5,55.9,33.3,25.3,1.0,east washington,2.22
way/105672012,43.1273028782192,-89.29562357000532,coffee shop,51.5,45.9,42.9,26.2,0.7,east side,6.45
way/103183617,43.0733723384285,-89.38325501338285,daycare,51.5,43.9,50.0,16.3,0.0,downtown,0.09
node/1182271388,43.0748612,-89.3874147,daycare,51.5,43.9,50.0,16.3,0.0,downtown,0.29
node/4471944660,43.1086945,-89.3176002,coffee shop,51.5,45.9,42.9,26.2,1.0,east side,3.88
way/86579194,43.0542186082353,-89.50844628851435,bakery,51.5,51.5,40.0,20.6,1.0,west side,2.6
way/43926492,43.05209980648997,-89.50251034738326,late night food,51.5,58.5,37.5,12.0,1.0,west side,2.32
node/5661434236,43.0752286,-89.3903163,convenience store,51.4,50.2,50.0,2.5,0.0,downtown,0.53
node/956773581,43.0940178,-89.3414668,restaurant,51.4,53.1,33.3,30.0,1.0,east washington,1.93
way/374720809,43.05761232897419,-89.50673069904921,coffee shop,51.4,38.5,50.0,26.2,0.0,junction,0.76
node/8319452818,43.07338489999999,-89.3944438,bar,51.4,50.5,33.3,35.0,0.0,isthmus,0.4
way/105672012,43.1273028782192,-89.29562357000532,restaurant,51.4,41.1,45.5,30.0,0.7,east side,6.45
way/62164927,43.052617940773146,-89.47592550158006,pharmacy,51.4,38.8,50.0,25.3,0.7,west side,1.42
node/5029100532,43.0939931,-89.3411095,restaurant,51.4,53.1,33.3,30.0,1.0,east washington,1.94
node/2522752349,43.0746247,-89.3934014,bar,51.4,50.8,33.3,35.0,0.0,isthmus,0.28
way/374720809,43.05761232897419,-89.50673069904921,urgent care,51.3,38.5,50.0,25.1,0.0,west side,2.32
node/13270880290,43.0754897,-89.3856372,late night food,51.3,45.1,50.0,12.0,0.0,capitol square,0.16
node/5661434236,43.0752286,-89.3903163,bar,51.3,50.2,33.3,35.0,0.0,isthmus,0.04
way/62164927,43.052617940773146,-89.47592550158006,urgent care,51.3,38.8,50.0,25.1,0.7,west side,1.42
node/7324078516,43.0750199,-89.3899089,convenience store,51.2,49.6,50.0,2.5,0.0,downtown,0.49
node/591443374,43.0574728,-89.5049543,restaurant,51.2,35.9,50.0,30.0,0.0,junction,0.83
way/37308634,43.074806106649646,-89.4441008496207,late night food,51.1,44.3,50.0,12.0,0.7,campus,2.57
node/7324078516,43.0750199,-89.3899089,bar,51.1,49.6,33.3,35.0,0.0,isthmus,0.01
way/1135060521,43.12621310768891,-89.3042274176044,gym,51.1,62.0,20.0,36.5,1.0,east side,6.07
node/956773581,43.0940178,-89.3414668,pharmacy,51.0,54.2,33.3,25.3,1.0,east washington,1.93
way/987655471,43.05749205759648,-89.42806675954046,coworking space,51.0,46.9,50.0,5.9,0.7,monroe street,1.84
node/3240429353,43.0574313,-89.3989271,restaurant,51.0,58.2,26.7,30.0,0.7,monroe street,1.04
way/1135060521,43.12621310768891,-89.3042274176044,bar,51.0,57.1,25.3,35.0,1.0,east side,6.07
way/297754313,43.1132150211739,-89.34823242844925,pharmacy,51.0,54.0,33.3,25.3,1.0,east washington,3.84
node/4420709485,43.0945861,-89.36413690000002,pharmacy,51.0,54.0,33.3,25.3,1.0,east washington,1.96
way/86579194,43.0542186082353,-89.50844628851435,late night food,51.0,56.6,37.5,12.0,1.0,west side,2.6
node/5029100532,43.0939931,-89.3411095,pharmacy,51.0,54.2,33.3,25.3,1.0,east washington,1.94
node/5642484847,43.0749071,-89.3819968,daycare,50.9,41.3,50.0,16.3,0.0,downtown,0.19
way/86579194,43.0542186082353,-89.50844628851435,bar,50.9,51.5,30.6,35.0,1.0,west side,2.6
node/7126784708,43.0726154,-89.387835,daycare,50.9,41.6,50.0,16.3,0.0,downtown,0.35
way/62164927,43.052617940773146,-89.47592550158006,bakery,50.8,48.8,40.0,20.6,0.7,west side,1.42
node/956773581,43.0940178,-89.3414668,pharmacy,50.8,53.1,33.3,25.3,1.0,east washington,1.93
way/1134399617,43.0719294018631,-89.45223628239545,pharmacy,50.8,36.8,50.0,25.3,0.7,west side,2.38
way/456695749,43.06623340255474,-89.41478794793663,grocery store,50.8,53.4,33.3,25.0,1.0,campus,1.17
node/4925300456,43.0407409,-89.3953648,coworking space,50.8,46.2,50.0,5.9,1.0,monroe street,1.47
node/5029100532,43.0939931,-89.3411095,pharmacy,50.8,53.1,33.3,25.3,1.0,east washington,1.94
way/1134399617,43.0719294018631,-89.45223628239545,urgent care,50.8,36.8,50.0,25.1,0.7,west side,2.38
node/591443374,43.0574728,-89.5049543,coffee shop,50.8,35.9,50.0,26.2,0.0,junction,0.83
way/43926492,43.05209980648997,-89.50251034738326,bakery,50.7,48.4,40.0,20.6,1.0,west side,2.32
node/956773894,43.0972453,-89.3152071,bar,50.7,55.9,25.3,35.0,1.0,east side,2.75
way/103183617,43.0733723384285,-89.38325501338285,restaurant,50.7,36.2,47.6,30.0,0.0,downtown,0.09
way/374720809,43.05761232897419,-89.50673069904921,restaurant,50.6,33.4,50.0,30.0,0.0,junction,0.76
node/11477165381,43.0640971,-89.4181216,grocery store,50.6,52.7,33.3,25.0,1.0,campus,1.46
node/13190701833,43.0804576,-89.3685604,coffee shop,50.6,35.4,50.0,26.2,0.3,marquette,0.29
node/9929920560,43.0531595,-89.4844202,late night food,50.6,55.0,37.5,12.0,1.0,west side,1.36
node/3245483866,43.05513059999999,-89.4999204,late night food,50.6,54.8,37.5,12.0,0.7,west side,1.96
node/591443374,43.0574728,-89.5049543,urgent care,50.6,35.9,50.0,25.1,0.0,west side,2.19
node/13190701833,43.0804576,-89.3685604,coffee shop,50.5,34.9,50.0,26.2,0.3,marquette,0.29
node/2296195347,43.06918499999999,-89.3923898,restaurant,50.5,43.5,39.7,30.0,1.0,general madison,0.84
node/6340379852,43.0749307,-89.39238,restaurant,50.5,35.3,47.6,30.0,0.0,downtown,0.69
way/433662536,43.06239599285799,-89.40046167839698,gym,50.4,57.8,21.6,36.5,1.0,general madison,1.19
node/8773830624,43.128389899999995,-89.3611411,pharmacy,50.4,51.8,33.3,25.3,1.0,east washington,5.54
way/103183617,43.0733723384285,-89.38325501338285,coffee shop,50.4,43.9,40.7,26.2,0.0,downtown,0.09
way/107454783,43.07093661462544,-89.4522959346128,late night food,50.4,54.3,37.5,12.0,1.0,west side,2.35
node/5642484847,43.0749071,-89.3819968,late night food,50.3,41.3,50.0,12.0,0.0,capitol square,0.16
