location_tag,business_type,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence,lat,lon
monroe street,coworking space,0.5,0.0,0.5,0.3778764307498932,0.6636420786380768,2,True,43.0505,-89.4076
downtown,convenience store,0.5,0.0,0.5,0.3768414855003357,0.7913953810930252,4,True,43.074,-89.384
camp randall,coffee shop,0.5,0.0,0.5,0.3716835975646972,0.7892856597900391,2,True,43.07,-89.4128
monroe street,bar,0.5161290322580645,0.064516129032258,0.4193548387096774,0.366513830038809,0.7699899260074862,31,False,43.0505,-89.4076
downtown,bakery,0.6,0.1,0.3,0.3638969421386718,0.7825790882110596,10,False,43.074,-89.384
verona,gym,0.5,0.0,0.5,0.3534304499626159,0.6600744426250458,2,True,42.9919,-89.5332
north side,general business,0.6,0.2,0.2,0.3521917581558227,0.7750860571861267,5,True,43.11,-89.38
willy street,restaurant,0.4583333333333333,0.0833333333333333,0.4583333333333333,0.3468205407261848,0.8355717211961746,24,False,43.0669,-89.3704
downtown,restaurant,0.4758620689655172,0.0827586206896551,0.4413793103448276,0.3248258194019054,0.7458151728942477,145,False,43.074,-89.384
middleton,coffee shop,0.3333333333333333,0.0,0.6666666666666666,0.3240578770637511,0.8061100244522095,3,True,43.0972,-89.5043
downtown,daycare,0.5,0.0,0.5,0.3109483867883682,0.6124472767114639,4,True,43.074,-89.384
downtown,coffee shop,0.4074074074074074,0.1111111111111111,0.4814814814814814,0.3042107356919182,0.7872208632804729,27,False,43.074,-89.384
middleton,gym,0.3333333333333333,0.0,0.6666666666666666,0.2980028390884399,0.7019392848014832,3,True,43.0972,-89.5043
west side,bakery,0.4,0.0,0.6,0.2885133266448975,0.7172324657440186,5,True,43.065,-89.48
atwood,pharmacy,0.3333333333333333,0.0,0.6666666666666666,0.2871965765953064,0.7416287660598755,3,True,43.0652,-89.3621
campus,bakery,0.3333333333333333,0.0,0.6666666666666666,0.2831111749013265,0.6619714498519897,3,True,43.0766,-89.4125
general madison,bakery,0.4913294797687861,0.1791907514450867,0.3294797687861271,0.2758961187277226,0.7725010800223819,173,False,43.0731,-89.4012
campus,gym,0.5,0.1,0.4,0.2758512377738952,0.6936350405216217,10,False,43.0766,-89.4125
sun prairie,general business,0.5,0.0,0.5,0.2730337679386139,0.649840772151947,2,True,43.1836,-89.2137
