location_tag,business_type,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence
willy street,late night food,0.2857142857142857,0.42857142857142855,0.2857142857142857,-0.05980860335486277,0.807387147630964,7,True
east washington,general business,0.0851063829787234,0.2127659574468085,0.7021276595744681,-0.08015781577597274,0.7124896918205504,47,False
general madison,coworking space,0.10344827586206896,0.2413793103448276,0.6551724137931034,-0.0867814195567164,0.7110315890147768,29,False
hilldale,general business,0.14285714285714285,0.2857142857142857,0.5714285714285714,-0.09240671566554479,0.7048732468060085,7,True
general madison,general business,0.16886543535620052,0.3113456464379947,0.5197889182058048,-0.09347891721058647,0.6895916796139488,379,False
east side,gym,0.2,0.4,0.4,-0.09519949555397034,0.6642167329788208,10,False
west side,pharmacy,0.5,0.5,0.0,-0.11336575448513031,0.5838188678026199,2,True
general madison,grocery store,0.18137254901960784,0.36764705882352944,0.45098039215686275,-0.12490329277866027,0.7034354871686768,204,False
general madison,pharmacy,0.2,0.4125,0.3875,-0.1450338985770941,0.7292234228923917,160,False
deforest,bar,0.0,0.3333333333333333,0.6666666666666666,-0.16494404276212057,0.7010205090045929,3,True
east side,grocery store,0.0,0.25,0.75,-0.18258734047412872,0.8247517645359039,4,True
general madison,convenience store,0.13559322033898305,0.423728813559322,0.4406779661016949,-0.18906338033029588,0.7086813389244726,59,False
monona,gym,0.0,0.5,0.5,-0.25054240226745605,0.6352097988128662,2,True
general madison,urgent care,0.13043478260869565,0.5217391304347826,0.34782608695652173,-0.2701982389325681,0.6869882915330969,23,False
vilas,general business,0.0,0.5,0.5,-0.29564496874809265,0.6141003668308258,2,True
general madison,daycare,0.0,0.4,0.6,-0.30572052001953126,0.7365741848945617,5,True
marquette,general business,0.0,0.5,0.5,-0.35806742310523987,0.7150770425796509,2,True
campus,urgent care,0.0,0.5,0.5,-0.4074295163154602,0.7553194165229797,2,True
atwood,convenience store,0.0,0.5,0.5,-0.44064512848854065,0.8980096578598022,2,True
sun prairie,grocery store,0.0,0.6666666666666666,0.3333333333333333,-0.4457866946856181,0.6242504715919495,3,True
fitchburg,general business,0.0,0.6666666666666666,0.3333333333333333,-0.46016093095143634,0.6213469008604685,3,True
east washington,late night food,0.0,0.6666666666666666,0.3333333333333333,-0.473832905292511,0.7704776724179586,3,True
downtown,urgent care,0.0,0.6666666666666666,0.3333333333333333,-0.49327478806177777,0.7068774501482645,9,True
sun prairie,gym,0.0,1.0,0.0,-0.5157047510147095,0.5157047510147095,1,True
camp randall,gym,0.0,1.0,0.0,-0.5345057249069214,0.5345057249069214,1,True
atwood,hardware store,0.0,1.0,0.0,-0.5375238656997681,0.5375238656997681,1,True
monona,urgent care,0.0,1.0,0.0,-0.5390380620956421,0.5390380620956421,1,True
junction,general business,0.0,1.0,0.0,-0.6001901030540466,0.6001901030540466,1,True
east washington,hardware store,0.0,1.0,0.0,-0.6203780174255371,0.6203780174255371,1,True
east washington,urgent care,0.0,1.0,0.0,-0.6324350237846375,0.6324350237846375,1,True
willy street,convenience store,0.0,1.0,0.0,-0.6644454002380371,0.6644454002380371,1,True
east washington,gym,0.0,1.0,0.0,-0.6727653741836548,0.6727653741836548,2,True
willy street,gym,0.0,1.0,0.0,-0.7097033262252808,0.7097033262252808,1,True
monona,hardware store,0.0,1.0,0.0,-0.7854911684989929,0.7854911684989929,1,True
monroe street,urgent care,0.0,1.0,0.0,-0.8037773370742798,0.8037773370742798,1,True
monona,pharmacy,0.0,1.0,0.0,-0.855805516242981,0.855805516242981,1,True
